review_id,customer_id,product_id,rating,review_text,review_date,sentiment
R0001,161,35,4,와! 브랜드 신뢰하고 추천함해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-03-12,Positive
R0002,641,91,4,LED 조명 후기 남깁니다. 디자인 예쁨해서 기대 이상이었어요. 품질 우수하기까지!,2025-10-23,Positive
R0003,788,56,3,나쁘지도 좋지도 않은 제품이에요. 팬 소음 심함하지만 발열 심함해서 3점 정도?,2025-04-13,Neutral
R0004,867,25,3,나쁘지도 좋지도 않은 제품이에요. 사용 복잡하지만 기능 부족해서 3점 정도?,2025-04-28,Neutral
R0005,672,15,2,무선 충전기 후기입니다. 충전 안됨해서 불만족이에요. 배터리 빨리 닳음하기까지 하네요.,2025-03-10,Negative
R0006,852,82,1,음... 소음 심함하고 밤에 못씀해서 다시 사고 싶지 않아요.,2025-08-08,Negative
R0007,57,62,1,마이크 콘덴서 실망이에요. 소음 심함하고 볼륨 작음해서 별로예요.,2025-01-07,Negative
R0008,828,7,1,기대했는데 아쉽네요. 발열 심함하고 팬 소음 심함합니다. 1점이 적당한 것 같아요.,2025-01-02,Negative
R0009,422,90,3,평범한 제품인 것 같아요. 저렴해 보임하고 쉽게 망가짐한 정도입니다.,2025-05-06,Neutral
R0010,11,75,1,냉장고 양문형 실망이에요. 이웃 민원하고 너무 시끄러움해서 별로예요.,2024-11-08,Negative
R0011,888,77,1,기대했는데 아쉽네요. 실망스러움하고 브랜드 의심합니다. 1점이 적당한 것 같아요.,2024-12-14,Negative
R0012,738,16,2,음... 기대 이하하고 비싼 가격해서 다시 사고 싶지 않아요.,2024-11-22,Negative
R0013,556,58,3,평범한 제품인 것 같아요. 품질 아쉬움하고 포장 엉성한 정도입니다.,2025-07-09,Neutral
R0014,670,90,1,음... 쉽게 망가짐하고 수납 부족해서 다시 사고 싶지 않아요.,2025-01-24,Negative
R0015,49,18,5,운동 매트 후기 남깁니다. 만족스러움해서 기대 이상이었어요. 품질 우수하기까지!,2025-03-20,Positive
R0016,853,51,5,스피커 포터블 사용해보니 저음 좋음하네요. 음질 최고해서 만족스럽습니다.,2025-09-10,Positive
R0017,15,13,4,와! 볼륨 충분하고 고음 선명해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-08-05,Positive
R0018,852,12,3,인덕션 레인지 그냥 그래요. 에너지 많이 먹음한 편이지만 기능 부족한 부분도 있어서 보통입니다.,2025-03-20,Neutral
R0019,647,35,2,기대했는데 아쉽네요. 품질 아쉬움하고 포장 엉성합니다. 2점이 적당한 것 같아요.,2025-09-22,Negative
R0020,605,33,1,음... 불편함하고 비싼 가격해서 다시 사고 싶지 않아요.,2025-10-28,Negative
